category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,mean_bv_to_bv_centroid,n_bv,local_rank,global_rank,rank_shift_local_minus_global,embedding
door,262,5,5,11.653188921863336,3.4951296165628887,11.03286687347509,11.183330976831105,63777,82.0,66.0,16.0,dinov3
chair,266,5,5,11.763681418306104,3.3948736166538445,11.167161460290703,12.68540515273549,261847,81.0,10.0,71.0,dinov3
couch,264,5,5,11.805468256976118,4.078674089128183,11.29525520306055,11.339845528455289,162393,80.0,60.0,20.0,dinov3
book,258,5,5,12.648222239464106,5.443676061332588,11.063869800634908,11.389608965391126,44652,79.0,58.0,21.0,dinov3
lamp,265,5,5,12.764202896264116,4.614791856736909,12.139250737045558,12.140082870299691,200573,78.0,26.0,52.0,dinov3
finger,255,5,5,12.906685362743884,5.606569855266735,11.083328919623316,11.163198472848734,5343,77.0,67.0,10.0,dinov3
bed,262,5,5,12.926206053596522,4.521045985287636,12.084625721944793,11.813213732207988,85010,76.0,40.0,36.0,dinov3
toy,266,5,5,12.930844362535373,4.295782335449255,11.8216296761227,12.530710224335971,103022,75.0,16.0,59.0,dinov3
table,265,5,5,12.959844954258193,4.276161251837905,11.953304767763166,11.565560065822684,164719,74.0,52.0,22.0,dinov3
refrigerator,263,5,5,13.21119994505091,5.109998086700538,11.939377225025536,11.9054213571211,66957,73.0,36.0,37.0,dinov3
window,259,5,5,13.424455576667675,5.443661675365492,12.278928859631865,11.206302834480669,56686,72.0,65.0,7.0,dinov3
hair,255,5,5,13.525904496596814,5.015877354284546,12.327530567631303,10.583308490488076,7310,71.0,80.0,-9.0,dinov3
