subject_a,subject_b,n_common_categories,n_rdm_pairs,pearson_r,pearson_p,spearman_rho,spearman_p
00350001,00460001,98,4753,0.5823487774698823,0.0,0.5410041556206044,0.0
00350001,00490001,100,4950,0.6014711663023221,0.0,0.5673797487869594,0.0
00350001,00500001,100,4950,0.648193091906209,0.0,0.6176344629050681,0.0
00350001,00510001,100,4950,0.6142112637124248,0.0,0.5792536528497345,0.0
00350001,00510002,100,4950,0.5823158719158988,0.0,0.5637977306772346,0.0
00350001,00550001,97,4656,0.5924048101656505,0.0,0.576446411238277,0.0
00350001,00560001,100,4950,0.6208436658500621,0.0,0.5938675158040495,0.0
00350001,00590001,100,4950,0.6040147258703252,0.0,0.575420231514864,0.0
00350001,00680001,100,4950,0.5778590138300923,0.0,0.5446306709987071,0.0
00350001,00720001,100,4950,0.591152602320304,0.0,0.5407659505434217,0.0
00350001,00820001,100,4950,0.6372618739183072,0.0,0.6008598589610525,0.0
00350002,00360001,111,6105,0.6296546368028725,0.0,0.5903742199539385,0.0
00350002,00370001,111,6105,0.6212808004968475,0.0,0.588385501625449,0.0
00350002,00370002,111,6105,0.6708572037377651,0.0,0.6357355399485715,0.0
00350002,00390001,109,5886,0.5774495473831904,0.0,0.5506237165638936,0.0
00350002,00400001,111,6105,0.6164188187904845,0.0,0.5902860691095756,0.0
00350002,00400002,111,6105,0.6438323730504478,0.0,0.6154413169950601,0.0
00350002,00400003,111,6105,0.5790765430336823,0.0,0.5364981051057612,0.0
00350002,00420001,111,6105,0.6638810457429363,0.0,0.6218752366390273,0.0
00350002,00430001,111,6105,0.5639538077325282,0.0,0.5281532001515654,0.0
00350002,00430002,95,4465,0.564414879108867,0.0,0.5353682613262748,0.0
00350002,00440001,106,5565,0.564847265990164,0.0,0.5203084367984774,0.0
00350002,00460001,110,5995,0.5750438354479329,0.0,0.5109175555644455,0.0
00350002,00490001,109,5886,0.617055863954659,0.0,0.5907657725594526,0.0
00350002,00500001,111,6105,0.603511252489491,0.0,0.564773004582697,0.0
00350002,00510001,111,6105,0.6290132144976237,0.0,0.6005033017340057,0.0
00350002,00510002,111,6105,0.565156729653756,0.0,0.5378567988625175,0.0
00350002,00550001,107,5671,0.6022370491219675,0.0,0.5595578503586335,0.0
00350002,00560001,111,6105,0.6505522650632016,0.0,0.621312305601334,0.0
00350002,00590001,110,5995,0.608756820035505,0.0,0.5796668010094699,0.0
00350002,00680001,110,5995,0.5479678279858392,0.0,0.5057159425545689,0.0
00350002,00720001,111,6105,0.579678469063119,0.0,0.5220157364543846,0.0
00350002,00820001,111,6105,0.636041018464872,0.0,0.6163462593375116,0.0
00360001,00370001,129,8256,0.7683510678422734,0.0,0.7341286025115635,0.0
00360001,00370002,129,8256,0.8242981749510523,0.0,0.7986761666307122,0.0
00360001,00390001,121,7260,0.7410891817448058,0.0,0.7015197393215311,0.0
00360001,00400001,129,8256,0.7824435684038534,0.0,0.7532571159349966,0.0
00360001,00400002,128,8128,0.8279574537231743,0.0,0.8116128552093138,0.0
00360001,00400003,128,8128,0.7761098684143513,0.0,0.7496393936692923,0.0
00360001,00420001,129,8256,0.8111847275285154,0.0,0.7914579512400467,0.0
00360001,00430001,129,8256,0.7721482605270609,0.0,0.747981651085551,0.0
00360001,00430002,102,5151,0.6245097589057065,0.0,0.5669313676554967,0.0
00360001,00440001,116,6670,0.6943452294450505,0.0,0.6750209554869908,0.0
00360001,00460001,122,7381,0.6903499028358416,0.0,0.6275802774029856,0.0
00360001,00490001,126,7875,0.7622291965740589,0.0,0.7338223674300742,0.0
00360001,00500001,129,8256,0.8024753070142965,0.0,0.7846912634014901,0.0
00360001,00510001,129,8256,0.7858362505925451,0.0,0.7631596271934733,0.0
00360001,00510002,128,8128,0.7350138203536594,0.0,0.7108278377797863,0.0
00360001,00550001,119,7021,0.705375215678181,0.0,0.664012107847108,0.0
00360001,00560001,129,8256,0.7845294069438209,0.0,0.7548824075402918,0.0
00360001,00590001,128,8128,0.7130743137287714,0.0,0.686694728567515,0.0
00360001,00680001,126,7875,0.6981285789434042,0.0,0.6642465410053072,0.0
00360001,00720001,129,8256,0.7633164420214436,0.0,0.7222614726230687,0.0
00360001,00820001,129,8256,0.8090123670288714,0.0,0.7868005879129117,0.0
00370001,00370002,129,8256,0.8210623872939682,0.0,0.8019954151714235,0.0
00370001,00390001,121,7260,0.7044526705506129,0.0,0.6749421181639613,0.0
00370001,00400001,129,8256,0.8452496826576685,0.0,0.817406165078773,0.0
00370001,00400002,128,8128,0.8492807670119757,0.0,0.8294961057632159,0.0
00370001,00400003,128,8128,0.8429174370939698,0.0,0.8177218425635884,0.0
00370001,00420001,129,8256,0.80837972218337,0.0,0.7819551734415182,0.0
00370001,00430001,129,8256,0.8341079128831967,0.0,0.8076412635713158,0.0
00370001,00430002,102,5151,0.6548499386896962,0.0,0.6143830228387156,0.0
00370001,00440001,116,6670,0.7313566856283619,0.0,0.7057948649228175,0.0
00370001,00460001,122,7381,0.6878139826764555,0.0,0.6294370888959663,0.0
00370001,00490001,126,7875,0.8040444867473465,0.0,0.779151261034293,0.0
00370001,00500001,129,8256,0.8464728797903787,0.0,0.8181786984165204,0.0
00370001,00510001,129,8256,0.8231974304586696,0.0,0.8013310886419758,0.0
00370001,00510002,128,8128,0.783150584694291,0.0,0.7642043848314373,0.0
00370001,00550001,119,7021,0.7132179029967531,0.0,0.6769265579661506,0.0
00370001,00560001,129,8256,0.8211792758312599,0.0,0.8042415723596724,0.0
00370001,00590001,128,8128,0.7142211013019563,0.0,0.6856994862016755,0.0
00370001,00680001,126,7875,0.7125505929623703,0.0,0.6775990595500502,0.0
00370001,00720001,129,8256,0.7849641163067476,0.0,0.7461558369999723,0.0
00370001,00820001,129,8256,0.871392552540343,0.0,0.8510458473969738,0.0
00370002,00390001,121,7260,0.7690353373102988,0.0,0.7432851158036297,0.0
00370002,00400001,129,8256,0.844598540759893,0.0,0.8199954364862139,0.0
00370002,00400002,128,8128,0.8649605994605345,0.0,0.8474410074550658,0.0
00370002,00400003,128,8128,0.8321527164166437,0.0,0.8115624206930806,0.0
00370002,00420001,129,8256,0.8547362653110528,0.0,0.8337086030266191,0.0
00370002,00430001,129,8256,0.84218243223359,0.0,0.8317064998481608,0.0
00370002,00430002,102,5151,0.6505181617294428,0.0,0.6130943312423123,0.0
00370002,00440001,116,6670,0.7248467778686525,0.0,0.7047473920837317,0.0
00370002,00460001,122,7381,0.7101458267733972,0.0,0.657934767030603,0.0
00370002,00490001,126,7875,0.8244238286708125,0.0,0.8161473875710817,0.0
