subject_id,category
00430001,necklace
00430001,vacuum
00430001,shovel
00430001,scissors
00430001,spoon
00430001,fork
00430001,knife
00430001,pencil
00430001,pen
00430001,crayon
00430001,plant
00430001,flower
00430001,bottle
00430001,cup
00430001,can
00430001,belt
00430001,basket
00430001,jar
00430001,bucket
00430001,tape
00430001,bowl
00430001,plate
00430001,banana
00430001,glass
00430001,tray
00430001,box
00430001,book
00430001,paper
00430001,gum
00430001,toy
00430001,mitten
00430001,glove
00430001,purse
00430001,pillow
00430001,towel
00430001,napkin
00430001,blanket
00430001,pajamas
00430001,bib
00430001,shirt
00560001,fish
00560001,frog
00560001,alligator
00560001,cat
00560001,dog
00560001,hair
00560001,hand
00560001,finger
00560001,toe
00560001,car
00560001,lamp
00560001,chair
00560001,bench
00560001,drawer
00560001,window
00560001,door
00560001,closet
00560001,refrigerator
00560001,crib
00560001,bed
00560001,couch
00560001,table
00560001,sink
00560001,slide
00560001,clock
00560001,ball
00560001,balloon
00560001,apple
00560001,hat
00560001,slipper
00560001,watch
00560001,nail
00560001,glasses
00560001,necklace
00560001,vacuum
00560001,scissors
00560001,pencil
00560001,pen
00560001,crayon
00560001,plant
00560001,flower
00560001,bottle
00560001,cup
00560001,can
00560001,belt
00560001,radio
00560001,basket
00560001,bucket
00560001,tape
00560001,bowl
00560001,plate
00560001,bread
00560001,glass
00560001,tray
00560001,box
00560001,book
00560001,paper
00560001,toothbrush
