annotator,initial_object_name,total_frames,correct_labels,incorrect_labels,mean_iou,mean_iou_correct,mean_iou_incorrect,precision,n,prevalence_bin
Mira,spoon,8,4,4,0.9998656960938413,0.9998517765882128,0.9998796155994698,0.5,137352,Very High (80-100%)
Mira,bench,5,2,3,0.9999057035044988,0.9999115158809393,0.9999018285868718,0.4,209857,Very High (80-100%)
Mira,car,5,2,3,0.999739910984304,0.9995599849106763,0.9998598617000558,0.4,63488,High (60-80%)
Mira,closet,5,2,3,0.9999417511606791,0.9999706509889512,0.9999224846084978,0.4,4276,Low (20-40%)
Mira,crib,5,2,3,0.9999563141947195,0.9999246412682421,0.9999774294790379,0.4,164037,Very High (80-100%)
Mira,grapes,5,2,3,0.9999030704946539,0.999967163319074,0.9998603419450406,0.4,8793,Medium (40-60%)
Mira,horse,5,2,3,0.9998921896435695,0.9998637530379819,0.9999111473806278,0.4,4946,Low (20-40%)
Mira,mitten,5,2,3,0.9999256908687502,0.9999171048346436,0.9999314148914878,0.4,20933,High (60-80%)
Mira,mouse,5,2,3,0.9998403749726628,0.9996516762903636,0.9999661740941955,0.4,48819,High (60-80%)
Mira,stairs,5,2,3,0.9999546782312678,0.99992014081915,0.9999777031726798,0.4,26809,High (60-80%)
Mira,radio,8,3,5,0.9998056407866842,0.9997576873236611,0.999834412864498,0.375,13673,Medium (40-60%)
Mira,bear,3,1,2,0.999988350883215,0.9999826130965721,0.9999912197765365,0.3333333333333333,405,Very Low (0-20%)
Mira,bee,3,1,2,0.9999392879451185,0.9999376002014643,0.9999401318169456,0.3333333333333333,1283,Low (20-40%)
Mira,bird,3,1,2,0.9998527593745891,0.9997750746679687,0.9998916017278993,0.3333333333333333,3282,Low (20-40%)
Mira,blocks,3,1,2,0.99995392612715,0.9999524226536689,0.9999546778638904,0.3333333333333333,47512,High (60-80%)
Mira,bucket,3,1,2,0.9999331975016563,0.9999406963142645,0.9999294480953522,0.3333333333333333,331606,Very High (80-100%)
Mira,bunny,3,1,2,0.9998530898298262,0.9998511389441888,0.999854065272645,0.3333333333333333,5826,Medium (40-60%)
Mira,bus,3,1,2,0.9999594295098001,0.999926280729112,0.9999760039001442,0.3333333333333333,3021,Low (20-40%)
Mira,dish,3,1,2,0.9999224866104267,0.9999005519153011,0.9999334539579894,0.3333333333333333,2808,Low (20-40%)
Mira,egg,3,1,2,0.9998302233544508,0.999805069226134,0.9998428004186093,0.3333333333333333,32619,High (60-80%)
Mira,elephant,3,1,2,0.9897865889648864,0.9999456239535464,0.9847070714705564,0.3333333333333333,1121,Low (20-40%)
Mira,game,6,2,4,0.9999694805116482,0.9999731497039578,0.9999676459154935,0.3333333333333333,129,Very Low (0-20%)
Mira,glass,3,1,2,0.9999549511654534,0.9999838081227393,0.9999405226868103,0.3333333333333333,10540,Medium (40-60%)
Mira,glove,3,1,2,0.9999594174881931,0.9999445025488165,0.9999668749578814,0.3333333333333333,47813,High (60-80%)
Mira,key,3,1,2,0.9996944428219963,0.9997401554536316,0.9996715865061787,0.3333333333333333,145,Very Low (0-20%)
