class_name,subject_id,age_mo,num_detected,num_frames
alligator,recOGrxo9eZvO35sn,18,128,10305
alligator,recOGrxo9eZvO35sn,19,100,12747
alligator,recOGrxo9eZvO35sn,20,36,7590
alligator,recOGrxo9eZvO35sn,21,20,9612
alligator,recOGrxo9eZvO35sn,22,6,5693
alligator,recOGrxo9eZvO35sn,23,18,4478
alligator,recOGrxo9eZvO35sn,24,9,2982
alligator,recOGrxo9eZvO35sn,25,5,2947
alligator,recOGrxo9eZvO35sn,26,2,1972
alligator,recOGrxo9eZvO35sn,27,0,84
alligator,recqxic2mwZdfhEAf,11,2,1245
alligator,recqxic2mwZdfhEAf,12,36,22778
alligator,recqxic2mwZdfhEAf,13,13,6267
alligator,recqxic2mwZdfhEAf,14,77,17183
alligator,recqxic2mwZdfhEAf,15,83,21273
alligator,recqxic2mwZdfhEAf,16,55,20368
alligator,recqxic2mwZdfhEAf,17,2,1566
alligator,recqxic2mwZdfhEAf,18,5,4980
alligator,recqxic2mwZdfhEAf,19,0,406
alligator,recqxic2mwZdfhEAf,20,21,3294
alligator,recqxic2mwZdfhEAf,21,32,6498
alligator,recqxic2mwZdfhEAf,22,14,3892
alligator,recqxic2mwZdfhEAf,23,31,12646
alligator,recqxic2mwZdfhEAf,24,14,2263
alligator,recqxic2mwZdfhEAf,25,75,8950
alligator,recqxic2mwZdfhEAf,26,1,331
alligator,recqxic2mwZdfhEAf,27,39,7775
alligator,recqxic2mwZdfhEAf,28,3,1978
alligator,recr3BwWnOvq4pzzn,7,133,21580
alligator,recr3BwWnOvq4pzzn,8,163,15909
alligator,recr3BwWnOvq4pzzn,9,75,11591
alligator,recr3BwWnOvq4pzzn,10,38,8866
alligator,recr3BwWnOvq4pzzn,11,31,10437
alligator,recr3BwWnOvq4pzzn,12,33,13469
alligator,recr3BwWnOvq4pzzn,13,20,9104
alligator,recr3BwWnOvq4pzzn,14,30,16295
alligator,recr3BwWnOvq4pzzn,15,88,10526
alligator,recr3BwWnOvq4pzzn,16,35,9852
alligator,recr3BwWnOvq4pzzn,17,82,12198
alligator,recr3BwWnOvq4pzzn,18,183,17396
alligator,recr3BwWnOvq4pzzn,19,221,13413
alligator,recr3BwWnOvq4pzzn,20,77,12833
alligator,recUFk9OvT2aezPX4,9,31,3373
alligator,recujVRyuwEKB4NQl,17,62,21420
alligator,recujVRyuwEKB4NQl,18,58,16353
alligator,recujVRyuwEKB4NQl,19,31,11568
alligator,recujVRyuwEKB4NQl,20,23,9574
alligator,recujVRyuwEKB4NQl,21,15,4905
alligator,recujVRyuwEKB4NQl,24,4,4730
alligator,recujVRyuwEKB4NQl,25,35,6852
alligator,recujVRyuwEKB4NQl,26,18,4993
alligator,recVizCjdU71xWg7E,15,0,4
alligator,recVizCjdU71xWg7E,16,22,11463
alligator,recVizCjdU71xWg7E,17,36,16580
alligator,recVizCjdU71xWg7E,18,61,17841
alligator,recVizCjdU71xWg7E,19,18,3194
