subject_id,category,stratum,cdi_domain,age_from,age_to,age_midpoint,centroid_displacement,dispersion_from,dispersion_to,dispersion_delta,n_crops_from,n_crops_to
00400001,plate,playing,household,25,26,25.5,0.24306415591866293,0.5004357439144256,0.45312710398057693,-0.04730863993384865,42,58
00400001,plate,playing,household,26,27,26.5,0.37740562034512226,0.45312710398057693,0.3263261526938479,-0.12680095128672902,58,48
00400001,plate,playing,household,27,28,27.5,0.3914884868318411,0.3263261526938479,0.46866108330790496,0.14233493061405705,48,41
00400002,car,all,vehicles,14,15,14.5,0.39672586396285026,0.43562103121272217,0.41380168515607074,-0.021819346056651423,20,15
00400002,car,all,vehicles,18,19,18.5,0.6475688436302572,0.3843549734996343,0.3614590565032467,-0.0228959169963876,24,13
00400002,car,all,vehicles,19,20,19.5,0.6249356334006457,0.3614590565032467,0.3131273609866346,-0.04833169551661215,13,59
00400002,cat,all,animals,14,15,14.5,0.13791205452087785,0.3533774856168944,0.40322323673572447,0.04984575111883005,16,18
00400002,cup,all,household,13,14,13.5,0.212155213467068,0.48758426123972165,0.4913356032003847,0.0037513419606630682,34,250
00400002,cup,all,household,14,15,14.5,0.3260912749880047,0.4913356032003847,0.39440092272945915,-0.09693468047092557,250,256
00400002,cup,all,household,15,16,15.5,0.11276535527308273,0.39440092272945915,0.4082926727542878,0.013891750024828675,256,189
00400002,cup,all,household,16,17,16.5,0.2644226412808317,0.4082926727542878,0.4922066883768541,0.08391401562256628,189,192
00400002,cup,all,household,17,18,17.5,0.15809280296577488,0.4922066883768541,0.4726639346352332,-0.0195427537416209,192,119
00400002,cup,all,household,18,19,18.5,0.14195087490934621,0.4726639346352332,0.4516979760090682,-0.020965958626165015,119,186
00400002,cup,all,household,19,20,19.5,0.3004378717125409,0.4516979760090682,0.39363435920246764,-0.05806361680660055,186,256
00400002,cup,all,household,20,21,20.5,0.36309950988255857,0.39363435920246764,0.37050546931080697,-0.023128889891660676,256,256
00400002,cup,all,household,21,22,21.5,0.12790539723929606,0.37050546931080697,0.18764832220442468,-0.1828571471063823,256,256
00400002,cup,all,household,22,23,22.5,0.35791930145564677,0.18764832220442468,0.4046963848102201,0.2170480626057954,256,256
00400002,cup,all,household,23,24,23.5,0.47165140366721947,0.4046963848102201,0.28897781109518866,-0.11571857371503141,256,233
00400002,cup,eating,household,14,15,14.5,0.5745213877910924,0.3602464083042859,0.3082483328816965,-0.051998075422589385,83,256
00400002,cup,eating,household,15,16,15.5,0.11607574715470159,0.3082483328816965,0.2887066670017367,-0.019541665879959813,256,118
00400002,cup,eating,household,16,17,16.5,0.32275485628776934,0.2887066670017367,0.37837553647573186,0.08966886947399516,118,68
00400002,cup,eating,household,17,18,17.5,0.2565320840772656,0.37837553647573186,0.3752390804999248,-0.0031364559758070287,68,59
00400002,cup,eating,household,18,19,18.5,0.25223233388632993,0.3752390804999248,0.3783418346326232,0.003102754132698393,59,54
00400002,cup,eating,household,21,22,21.5,0.06957787350345912,0.28716277839264515,0.16650567824739765,-0.1206571001452475,256,256
00400002,cup,eating,household,22,23,22.5,0.15050844876272684,0.16650567824739765,0.34802427950974363,0.18151860126234598,256,155
00400002,cup,eating,household,23,24,23.5,0.2755285410849526,0.34802427950974363,0.3250422375613289,-0.022982041948414744,155,86
00400002,cup,kitchen_like,household,13,14,13.5,0.27547444168350865,0.4483871418819463,0.4652012454570732,0.016814103575126915,22,201
00400002,cup,kitchen_like,household,14,15,14.5,0.45095245845340304,0.4652012454570732,0.32457013987968436,-0.14063110557738884,201,256
